title,genres,cast,director,overview
Muzzle: City of Wolves,Action Thriller Mystery,Aaron Eckhart Tanya van Graan Karl Thaning,John Stalberg Jr.,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones."
Kung Fu Panda,Animation Family Drama Comedy Action,Jack Black Angelina Jolie Dustin Hoffman,Mark Osborne,"Chosen by prophecy but doubted by all, Po is an unlikely Dragon Warrior—a clumsy panda thrust into the world of kung fu as a deadly enemy threatens the Valley of Peace. Under reluctant guidance by Master Shifu and the Furious Five, Po must embrace who he is to unlock the power that no scroll can teach."
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy,Daniel Radcliffe Rupert Grint Emma Watson,Alfonso Cuarón,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all."
The Secret Agent,Crime Drama Thriller,Wagner Moura Tânia Maria Alice Carvalho,Kleber Mendonça Filho,"Brazil, 1977. Marcelo, a technology expert in his early 40s, is on the run. Hoping to reunite with his son, he travels to Recife during Carnival but soon realizes that the city is not the safe haven he was expecting."
Last Summer,Drama,Léa Drucker Samuel Kircher Olivier Rabourdin,Catherine Breillat,"One summer, a French teenager who has been living with his mother in the city moves in with his estranged father’s family in the countryside, where he clashes with his stepmother."
The Shining,Horror Thriller,Jack Nicholson Shelley Duvall Danny Lloyd,Stanley Kubrick,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."
Saving Private Ryan,War Drama History,Tom Hanks Tom Sizemore Edward Burns,Steven Spielberg,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home."
An Affair - Two Sisters,Drama Romance,Min Do-yoon Lee Chae-dam Yoo Ri,Park Joo-yeong,Two beautiful sisters run a cabin in the mountains that is well-known to men as a place of affection. An unknown man near the cabin watches them closely.
Scary Movie,Comedy,Anna Faris Regina Hall Marlon Wayans,Keenen Ivory Wayans,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!"
Snow White,Family Fantasy,Rachel Zegler Emilia Faucher Gal Gadot,Marc Webb,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom."
The Pianist,Drama War,Adrien Brody Thomas Kretschmann Frank Finlay,Roman Polanski,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city."
The Key,Drama Romance,Stefania Sandrelli Frank Finlay Franco Branciaroli,Tinto Brass,"In 1940s Venice, after twenty years' marriage, retired art critic Nino Rolfe and his younger wife Teresa feel their passion waning. To help her shed her inhibitions and rekindle their relationship, the professor records his sexual fantasies in a diary."
Karate Kid: Legends,Action Adventure Drama,Jackie Chan Ben Wang Joshua Jackson,Jonathan Entwistle,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown."
The Draft!,Science Fiction Horror,Anastasia Herzigova Winner Wijaya Putri Anggie,Yusron Fuadi,5 student. An old villa. Old well. Forbidden room. Dark secret of the past. A seemingly omnipotent evil. Survival is the key. Let the battle of wits begins...
Madagascar,Animation Adventure Comedy Family,Ben Stiller Chris Rock David Schwimmer,Eric Darnell,Four animal friends get a taste of the wild life when they break out of captivity at the Central Park Zoo and wash ashore on the island of Madagascar.
Aliens,Action Thriller Science Fiction,Sigourney Weaver Carrie Henn Michael Biehn,James Cameron,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426."
Pride & Prejudice,Drama Romance,Keira Knightley Matthew Macfadyen Brenda Blethyn,Joe Wright,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages."
Good Boy,Thriller Drama Mystery,Stephen Graham Andrea Riseborough Anson Boon,Jan Komasa,"Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfolds is not what he could possibly expect."
Tell Me What You Want,Romance Drama,Gabriela Andrada Mario Ermito Celia Freijeiro,Lucía Alemany,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair."
The Long Walk,Science Fiction Thriller Horror,Cooper Hoffman David Jonsson Garrett Wareing,Francis Lawrence,"In a dystopian 1970s America, fifty teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains."
Halloween,Horror Thriller,Donald Pleasence Jamie Lee Curtis Nancy Kyes,John Carpenter,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
Silver Linings Playbook,Drama Comedy Romance,Bradley Cooper Jennifer Lawrence Robert De Niro,David O. Russell,"After losing his job and wife, and spending time in an institution, a former teacher winds up living with his parents. He wants to rebuild his life and reconcile with his wife, but his father would be happy if he shared his obsession with the Philadelphia Eagles. Things get complicated when he meets Tiffany Maxwell who offers to help him reconnect with his wife if he will do something very important for her in exchange."
Halloween,Horror Thriller,Donald Pleasence Jamie Lee Curtis Nancy Kyes,John Carpenter,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
Silver Linings Playbook,Drama Comedy Romance,Bradley Cooper Jennifer Lawrence Robert De Niro,David O. Russell,"After losing his job and wife, and spending time in an institution, a former teacher winds up living with his parents. He wants to rebuild his life and reconcile with his wife, but his father would be happy if he shared his obsession with the Philadelphia Eagles. Things get complicated when he meets Tiffany Maxwell who offers to help him reconnect with his wife if he will do something very important for her in exchange."
Playdate,Action Comedy Family,Alan Ritchson Kevin James Banks Pierce,Luke Greenfield,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another."
American Psycho,Thriller Drama Crime,Christian Bale Justin Theroux Josh Lucas,Mary Harron,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,Ben Affleck Henry Cavill Jesse Eisenberg,Zack Snyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
